timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
2025/01/06 12:02:29.056, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.157, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.258, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.358, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.459, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.560, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.662, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.762, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.863, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:29.964, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.065, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.166, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.267, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.367, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.468, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.569, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.670, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.771, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.872, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:30.973, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:31.074, 5, 24576, 12, 24247, 0, 0
2025/01/06 12:02:31.174, 5, 24576, 24, 24234, 0, 0
2025/01/06 12:02:31.295, 5, 24576, 312, 23946, 0, 0
2025/01/06 12:02:31.396, 5, 24576, 312, 23946, 5, 0
2025/01/06 12:02:31.497, 5, 24576, 312, 23946, 5, 0
2025/01/06 12:02:31.597, 5, 24576, 316, 23942, 1, 0
2025/01/06 12:02:31.699, 5, 24576, 370, 23888, 1, 0
2025/01/06 12:02:31.799, 5, 24576, 370, 23888, 9, 0
2025/01/06 12:02:31.900, 5, 24576, 370, 23888, 9, 0
2025/01/06 12:02:32.001, 5, 24576, 516, 23742, 7, 0
2025/01/06 12:02:32.101, 5, 24576, 516, 23742, 7, 0
2025/01/06 12:02:32.202, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:32.303, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:32.404, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:32.505, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:32.606, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:32.707, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:32.808, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:32.909, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.009, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.110, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.211, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.312, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.412, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.513, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.613, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.714, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.815, 5, 24576, 516, 23742, 0, 0
2025/01/06 12:02:33.915, 5, 24576, 520, 23738, 0, 0
2025/01/06 12:02:34.016, 5, 24576, 520, 23738, 0, 0
2025/01/06 12:02:34.117, 5, 24576, 520, 23738, 0, 0
2025/01/06 12:02:34.218, 5, 24576, 520, 23738, 0, 0
2025/01/06 12:02:34.318, 5, 24576, 520, 23738, 0, 0
2025/01/06 12:02:34.419, 5, 24576, 528, 23730, 0, 0
2025/01/06 12:02:34.520, 5, 24576, 530, 23728, 0, 0
2025/01/06 12:02:34.620, 5, 24576, 530, 23728, 1, 0
2025/01/06 12:02:34.721, 5, 24576, 690, 23568, 1, 0
2025/01/06 12:02:34.822, 5, 24576, 926, 23332, 2, 0
2025/01/06 12:02:34.923, 5, 24576, 926, 23332, 2, 0
2025/01/06 12:02:35.024, 5, 24576, 926, 23332, 53, 29
2025/01/06 12:02:35.124, 5, 24576, 926, 23332, 53, 29
2025/01/06 12:02:35.226, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:35.327, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:35.427, 5, 24576, 926, 23332, 62, 36
2025/01/06 12:02:35.528, 5, 24576, 926, 23332, 62, 36
2025/01/06 12:02:35.629, 5, 24576, 926, 23332, 60, 35
2025/01/06 12:02:35.730, 5, 24576, 926, 23332, 60, 35
2025/01/06 12:02:35.830, 5, 24576, 926, 23332, 45, 26
2025/01/06 12:02:35.931, 5, 24576, 926, 23332, 45, 26
2025/01/06 12:02:36.032, 5, 24576, 926, 23332, 52, 30
2025/01/06 12:02:36.132, 5, 24576, 926, 23332, 52, 30
2025/01/06 12:02:36.233, 5, 24576, 926, 23332, 57, 33
2025/01/06 12:02:36.334, 5, 24576, 926, 23332, 57, 33
2025/01/06 12:02:36.435, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:36.535, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:36.636, 5, 24576, 926, 23332, 52, 30
2025/01/06 12:02:36.737, 5, 24576, 926, 23332, 52, 30
2025/01/06 12:02:36.837, 5, 24576, 926, 23332, 53, 31
2025/01/06 12:02:36.938, 5, 24576, 926, 23332, 53, 31
2025/01/06 12:02:37.039, 5, 24576, 926, 23332, 41, 24
2025/01/06 12:02:37.139, 5, 24576, 926, 23332, 41, 24
2025/01/06 12:02:37.240, 5, 24576, 926, 23332, 51, 30
2025/01/06 12:02:37.341, 5, 24576, 926, 23332, 51, 30
2025/01/06 12:02:37.441, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:37.543, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:37.643, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:37.744, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:37.845, 5, 24576, 926, 23332, 48, 28
2025/01/06 12:02:37.946, 5, 24576, 926, 23332, 48, 28
2025/01/06 12:02:38.047, 5, 24576, 926, 23332, 55, 32
2025/01/06 12:02:38.148, 5, 24576, 926, 23332, 55, 32
